FROM_INDEX,TO_INDEX,DURATION_H,DIST_KM
10,11,0.170622222,11.35273
10,12,0.263469444,10.11163
10,13,0.167747222,5.46489
10,14,0.223661111,10.7864
10,15,0.242825,11.31048
10,16,0.133194444,7.15213
10,17,0.264011111,7.85814
10,18,0.265061111,10.10513
10,19,0.3349,9.8112
10,20,0.253738889,11.69562
11,1,0.065038889,2.91047
11,2,0.354561111,17.24912
11,3,0.161669444,12.24732
11,4,0.326955556,11.68033
11,5,0.225227778,13.92951
11,6,0.215438889,9.15329
11,7,0.173813889,8.34535
11,8,0.086341667,4.89258
11,9,0.222005556,9.05495
11,10,0.111005556,5.80968
11,11,0,0
11,12,0.231869444,9.40219
11,13,0.182202778,8.5184
11,14,0.221777778,13.59698
11,15,0.240941667,14.12106
11,16,0.088255556,3.96334
11,17,0.275730556,15.06923
11,18,0.233463889,9.39569
11,19,0.346619444,17.0223
11,20,0.251855556,14.5062
12,1,0.228261111,9.71087
12,2,0.186547222,4.85989
12,3,0.237030556,7.02768
12,4,0.129883333,3.21993
12,5,0.292897222,6.99765
12,6,0.113986111,2.69211
12,7,0.148630556,4.05931
12,8,0.245422222,7.74899
12,9,0.009863889,0.34724
12,10,0.270086111,8.66609
12,11,0.238258333,12.12704
12,12,0,0
12,13,0.143630556,4.0057
12,14,0.23565,5.38565
12,15,0.181622222,4.29798
12,16,0.146227778,5.75854
12,17,0.153013889,3.68457
12,18,0.064380556,1.54623
12,19,0.178602778,4.63307
12,20,0.265727778,6.29487
13,1,0.180266667,8.57765
13,2,0.177530556,4.59751
13,3,0.131222222,3.7877
13,4,0.147188889,3.18631
13,5,0.202802778,5.14687
13,6,0.035675,0.65927
13,7,0.042825,0.81933
13,8,0.141411111,4.52193
13,9,0.144752778,5.37458
13,10,0.166072222,5.43903
13,11,0.269033333,14.60929
13,12,0.140805556,3.27853
13,13,0,0
13,14,0.145555556,3.53487
13,15,0.091527778,2.4472
13,16,0.190344444,6.64032
13,17,0.0987,2.41762
13,18,0.156211111,5.71532
13,19,0.169588889,4.37069
13,20,0.175633333,4.44409
14,1,0.235116667,13.74369
14,2,0.158819444,4.08656
14,3,0.064797222,1.43176
14,4,0.166983333,3.6656
14,5,0.075169444,1.84362
14,6,0.129844444,3.25773
14,7,0.131625,3.77495
14,8,0.207063889,10.00579
14,9,0.232458333,5.55165
14,10,0.231727778,10.92289
14,11,0.323883333,19.77533
14,12,0.225305556,5.2451
14,13,0.132233333,3.35605
14,14,0,0
14,15,0.0452,0.9585
14,16,0.286455556,15.57472
14,17,0.079988889,1.90667
14,18,0.260708333,9.00533
14,19,0.150877778,3.85974
14,20,0.048002778,1.14084
15,1,0.267283333,14.45107
15,2,0.117172222,3.1636
15,3,0.096966667,2.13915
15,4,0.125336111,2.74265
15,5,0.114830556,2.73522
15,6,0.0882,2.33477
15,7,0.120411111,2.65681
15,8,0.229561111,6.93065
15,9,0.190813889,4.6287
15,10,0.254225,7.84775
15,11,0.35605,20.48271
15,12,0.183661111,4.32214
15,13,0.090588889,2.4331
15,14,0.057583333,1.12321
15,15,0,0
15,16,0.269633333,8.51464
15,17,0.038341667,0.98372
15,18,0.235502778,7.58964
15,19,0.109230556,2.93678
15,20,0.087661111,2.03244
16,1,0.083786111,3.99612
16,2,0.292344444,9.16618
16,3,0.183238889,13.58722
16,4,0.245038889,7.99805
16,5,0.2468,15.26941
16,6,0.191558333,6.17098
16,7,0.185455556,6.43552
16,8,0.107913889,6.23248
16,9,0.1355,5.13539
16,10,0.132577778,7.14958
16,11,0.172552778,10.02776
16,12,0.145366667,5.48263
16,13,0.180455556,6.38191
16,14,0.243347222,14.93688
16,15,0.262513889,15.46096
16,16,0,0
16,17,0.240930556,7.78141
16,18,0.146958333,5.47613
16,19,0.284402778,8.93936
16,20,0.273427778,15.8461
17,1,0.275591667,10.9568
17,2,0.078830556,2.17989
17,3,0.131755556,3.08732
17,4,0.086994444,1.75894
17,5,0.149616667,3.68339
17,6,0.085194444,1.84192
17,7,0.128875,2.6925
17,8,0.236733333,6.90108
17,9,0.162205556,4.0153
17,10,0.261397222,7.81818
17,11,0.333058333,14.26974
17,12,0.155052778,3.70874
17,13,0.097761111,2.40353
17,14,0.092372222,2.07139
17,15,0.038341667,0.98372
17,16,0.241027778,7.90123
17,17,0,0
17,18,0.206894444,6.97624
17,19,0.070888889,1.95307
17,20,0.12245,2.98061
18,1,0.243983333,9.93404
18,2,0.245213889,6.34022
18,3,0.252805556,8.81302
18,4,0.18855,4.70026
18,5,0.332655556,10.79111
18,6,0.170511111,5.58011
18,7,0.164408333,5.84466
18,8,0.2612,9.53434
18,9,0.051513889,1.17377
18,10,0.285861111,10.45144
18,11,0.253980556,12.35021
18,12,0.061377778,1.52101
18,13,0.159408333,5.79105
18,14,0.282088889,9.46919
18,15,0.240288889,5.77831
18,16,0.161947222,5.9817
18,17,0.211680556,5.1649
18,18,0,0
18,19,0.237269444,6.1134
18,20,0.312166667,10.37841
19,1,0.346455556,12.94963
19,2,0.007947222,0.22692
19,3,0.202619444,5.08015
19,4,0.051686111,1.45762
19,5,0.220483333,5.67622
19,6,0.156016667,3.66262
19,7,0.199741667,4.68532
19,8,0.307597222,8.8939
19,9,0.185755556,4.93963
19,10,0.332261111,9.811
19,11,0.376505556,15.46745
19,12,0.178602778,4.63307
19,13,0.168625,4.39635
19,14,0.163236111,4.06421
19,15,0.109208333,2.97654
19,16,0.284475,9.09894
19,17,0.070863889,1.99283
19,18,0.240269444,6.13861
19,19,0,0
19,20,0.193313889,4.97343
20,1,0.271911111,14.86283
20,2,0.203655556,5.16868
20,3,0.109633333,2.51389
20,4,0.211819444,4.74773
20,5,0.036263889,0.83202
20,6,0.174680556,4.33985
20,7,0.176461111,4.85707
20,8,0.243858333,11.12494
20,9,0.277294444,6.63378
20,10,0.268522222,12.04204
20,11,0.360675,20.89447
20,12,0.270141667,6.32722
20,13,0.177069444,4.43818
20,14,0.061855556,1.29112
20,15,0.090036111,2.04062
20,16,0.323247222,16.69387
20,17,0.124825,2.98879
20,18,0.305544444,10.08745
20,19,0.195711111,4.94186
20,20,0,0
